structure.c.,Dates_x
48.54696109,2018/8/17 20:20
48.5410064,2018/8/17 20:25
48.53862296,2018/8/17 20:29
48.53526482,2018/8/17 20:31
48.53621723,2018/8/17 20:38
48.53802052,2018/8/17 20:39
48.52001807,2018/8/17 20:40
48.52482743,2018/8/17 20:42
48.52101783,2018/8/17 20:45
48.52538882,2018/8/17 20:46
48.52419069,2018/8/17 20:50
48.52250233,2018/8/17 20:51
48.5211229,2018/8/17 20:55
48.52104239,2018/8/17 20:58
48.51858827,2018/8/17 21:03
48.51637761,2018/8/17 21:05
48.51645792,2018/8/17 21:07
48.5128328,2018/8/17 21:09
48.51385153,2018/8/17 21:11
48.51186403,2018/8/17 21:16
48.51003981,2018/8/17 21:19
48.51074994,2018/8/17 21:21
48.50375438,2018/8/17 21:22
48.49989669,2018/8/17 21:24
48.50072724,2018/8/17 21:26
48.49809882,2018/8/17 21:29
48.49645421,2018/8/17 21:30
48.50062071,2018/8/17 21:31
48.50287525,2018/8/17 21:32
48.49995738,2018/8/17 21:33
48.50324385,2018/8/17 21:40
48.50024934,2018/8/17 21:50
48.49716896,2018/8/17 21:51
48.49822835,2018/8/17 21:54
48.50074835,2018/8/17 21:56
48.50110444,2018/8/17 22:01
48.50502764,2018/8/17 22:07
48.50098165,2018/8/17 22:13
48.5092573,2018/8/17 22:24
48.5178517,2018/8/17 22:36
48.52663173,2018/8/17 22:38
48.50921375,2018/8/17 22:39
48.50949102,2018/8/17 22:47
48.51391318,2018/8/17 22:50
48.51533268,2018/8/17 22:51
48.51298341,2018/8/17 22:58
48.51454625,2018/8/17 23:03
48.51809751,2018/8/17 23:08
48.51536029,2018/8/17 23:28
48.51342124,2018/8/17 23:31
48.5152074,2018/8/17 23:36
48.51803486,2018/8/17 23:41
48.51001102,2018/8/17 23:43
48.51469594,2018/8/17 23:54
48.52197461,2018/8/18 0:35
48.53298283,2018/8/18 1:46
48.53328187,2018/8/18 2:00
48.5269791,2018/8/18 2:04
48.53164406,2018/8/18 2:08
48.5328535,2018/8/18 2:10
48.51839164,2018/8/18 2:25
48.50753442,2018/8/18 2:26
48.50137608,2018/8/18 2:28
48.5232883,2018/8/20 9:00
48.5110655,2018/8/20 9:01
48.50729523,2018/8/20 9:02
48.50900512,2018/8/20 9:03
48.5108671,2018/8/20 9:04
48.51334788,2018/8/20 9:05
48.51428601,2018/8/20 9:06
48.51269506,2018/8/20 9:08
48.5120015,2018/8/20 9:09
48.512448,2018/8/20 9:10
48.51030559,2018/8/20 9:11
48.51022084,2018/8/20 9:12
48.51114095,2018/8/20 9:13
48.51200229,2018/8/20 9:14
48.51226838,2018/8/20 9:15
48.51379177,2018/8/20 9:17
48.51165308,2018/8/20 9:18
48.51177845,2018/8/20 9:20
48.51006968,2018/8/20 9:21
48.51121158,2018/8/20 9:22
48.51026248,2018/8/20 9:23
48.5101296,2018/8/20 9:24
48.50970957,2018/8/20 9:26
48.50915262,2018/8/20 9:27
48.50601228,2018/8/20 9:28
48.50747638,2018/8/20 9:29
48.50381917,2018/8/20 9:30
48.5024972,2018/8/20 9:31
48.50322022,2018/8/20 9:32
48.50453061,2018/8/20 9:33
48.50526261,2018/8/20 9:35
48.50407559,2018/8/20 9:36
48.50624487,2018/8/20 9:37
48.50500741,2018/8/20 9:38
48.50502622,2018/8/20 9:39
