Dates,open,high,low,close,volume
2018/10/11 1:27,268.05,268.05,268,268.05,18
2018/10/11 1:29,268.05,268.05,268.05,268.05,10
2018/10/11 1:30,268.05,268.1,268.05,268.1,274
2018/10/11 1:31,268,268,268,268,164
2018/10/11 1:32,268,268,268,268,12
2018/10/11 1:33,268,268,268,268,32
2018/10/11 1:34,268,268,267.95,268,42
2018/10/11 1:35,268,268.05,268,268.05,14
2018/10/11 1:36,268,268,268,268,34
2018/10/11 1:37,268,268,268,268,4
2018/10/11 1:38,268,268.05,268,268,90
2018/10/11 1:39,268.05,268.05,268,268,10
2018/10/11 1:40,268,268.05,268,268.05,4
2018/10/11 1:41,268.05,268.05,268.05,268.05,2
2018/10/11 1:42,268.05,268.05,267.95,267.95,330
2018/10/11 1:43,267.95,267.95,267.9,267.95,288
2018/10/11 1:44,267.95,267.95,267.95,267.95,2
2018/10/11 1:45,267.9,268,267.9,268,74
2018/10/11 1:46,268,268,268,268,18
2018/10/11 1:47,268,268,268,268,50
2018/10/11 1:49,267.95,267.95,267.95,267.95,2
2018/10/11 1:50,267.95,268,267.95,268,174
2018/10/11 1:51,268,268.05,268,268.05,16
2018/10/11 1:52,268,268,268,268,8
2018/10/11 1:54,268.05,268.05,268.05,268.05,2
2018/10/11 1:55,268.05,268.05,268.05,268.05,38
2018/10/11 1:56,268.05,268.1,268.05,268.05,144
2018/10/11 1:57,268.05,268.05,268.05,268.05,2
2018/10/11 1:58,268.1,268.2,268.1,268.1,430
2018/10/11 1:59,268.15,268.2,268.15,268.2,46
2018/10/11 2:00,268.15,268.2,268.15,268.2,38
2018/10/11 2:01,268.2,268.2,268.2,268.2,272
2018/10/11 2:02,268.15,268.3,268.15,268.25,648
2018/10/11 2:03,268.2,268.25,268.2,268.2,152
2018/10/11 2:04,268.2,268.2,268.15,268.2,172
2018/10/11 2:05,268.15,268.15,268.1,268.1,42
2018/10/11 2:06,268.1,268.1,268.1,268.1,120
2018/10/11 2:07,268.05,268.1,268.05,268.1,38
2018/10/11 2:08,268.1,268.1,268.1,268.1,12
2018/10/11 2:09,268.1,268.1,268.1,268.1,14
2018/10/11 2:10,268.1,268.15,268.1,268.15,42
2018/10/11 2:11,268.15,268.2,268.15,268.2,156
2018/10/11 2:12,268.2,268.25,268.15,268.25,264
2018/10/11 2:13,268.25,268.3,268.2,268.25,260
2018/10/11 2:14,268.25,268.3,268.25,268.25,412
2018/10/11 2:15,268.25,268.3,268.2,268.25,120
2018/10/11 2:16,268.3,268.3,268.25,268.25,172
2018/10/11 2:17,268.2,268.2,268.2,268.2,22
2018/10/11 2:18,268.2,268.25,268.2,268.25,12
2018/10/11 2:19,268.2,268.25,268.2,268.2,68
2018/10/11 2:20,268.2,268.25,268.2,268.25,12
2018/10/11 2:21,268.25,268.3,268.25,268.3,42
2018/10/11 2:22,268.25,268.3,268.25,268.25,18
2018/10/11 2:23,268.3,268.35,268.25,268.35,88
2018/10/11 2:24,268.3,268.3,268.25,268.25,112
2018/10/11 2:25,268.2,268.25,268.2,268.2,78
2018/10/11 2:26,268.2,268.25,268.2,268.25,52
2018/10/11 2:27,268.3,268.3,268.25,268.25,72
2018/10/11 2:28,268.25,268.25,268.2,268.2,124
2018/10/11 2:29,268.25,268.25,268.1,268.1,204
2018/10/11 9:00,268.5,268.55,268.4,268.55,3440
2018/10/11 9:01,268.5,268.55,268.4,268.5,1748
2018/10/11 9:02,268.55,268.6,268.45,268.5,884
2018/10/11 9:03,268.5,268.55,268.45,268.5,898
2018/10/11 9:04,268.55,268.55,268.45,268.45,194
2018/10/11 9:05,268.45,268.5,268.45,268.45,560
2018/10/11 9:06,268.45,268.5,268.4,268.45,802
2018/10/11 9:07,268.5,268.5,268.45,268.5,910
2018/10/11 9:08,268.5,268.55,268.45,268.55,762
2018/10/11 9:09,268.55,268.6,268.5,268.6,622
2018/10/11 9:10,268.55,268.6,268.55,268.6,802
2018/10/11 9:11,268.6,268.7,268.55,268.7,982
2018/10/11 9:12,268.7,268.75,268.65,268.7,722
2018/10/11 9:13,268.7,268.7,268.65,268.7,834
2018/10/11 9:14,268.7,268.7,268.6,268.6,800
2018/10/11 9:15,268.6,268.65,268.55,268.6,428
2018/10/11 9:16,268.6,268.6,268.55,268.6,936
2018/10/11 9:17,268.6,268.75,268.6,268.7,2022
2018/10/11 9:18,268.7,268.75,268.65,268.75,890
2018/10/11 9:19,268.75,268.9,268.75,268.9,2322
2018/10/11 9:20,268.9,269.05,268.85,269.05,3446
2018/10/11 9:21,269.05,269.05,268.95,269.05,2306
2018/10/11 9:22,269.05,269.1,269,269.05,2260
2018/10/11 9:23,269,269.05,269,269,1062
2018/10/11 9:24,269.05,269.05,268.95,268.95,1166
2018/10/11 9:25,269,269,268.95,269,150
2018/10/11 9:26,269,269,268.9,268.9,786
2018/10/11 9:27,268.95,268.95,268.9,268.95,332
2018/10/11 9:28,268.95,269,268.9,268.95,278
2018/10/11 9:29,268.9,268.95,268.9,268.95,86
2018/10/11 9:30,268.95,268.95,268.9,268.95,124
2018/10/11 9:31,268.9,268.95,268.85,268.85,346
2018/10/11 9:32,268.9,268.9,268.8,268.85,610
2018/10/11 9:33,268.85,268.85,268.8,268.85,494
2018/10/11 9:34,268.85,268.85,268.8,268.8,156
2018/10/11 9:35,268.85,268.85,268.8,268.85,396
2018/10/11 9:36,268.85,268.85,268.8,268.8,92
2018/10/11 9:37,268.8,268.8,268.75,268.75,1216
2018/10/11 9:38,268.75,268.8,268.75,268.75,566
2018/10/11 9:39,268.8,268.8,268.75,268.75,700
2018/10/11 9:40,268.8,268.8,268.75,268.75,108
2018/10/11 9:41,268.75,268.8,268.75,268.8,454
2018/10/11 9:42,268.75,268.8,268.75,268.75,176
2018/10/11 9:43,268.8,268.8,268.75,268.8,58
2018/10/11 9:44,268.75,268.8,268.75,268.8,46
2018/10/11 9:45,268.75,268.85,268.75,268.85,584
2018/10/11 9:46,268.8,268.85,268.8,268.85,142
